Codebarre;Titre;Editeur;Date_achat;Prix;Frequence;Format;Info;Public
2000;Carto Exploreur Savoie Ouest (73 O);Byo;04/01/2003;;1;PC;1CD , jaquette;
2007;Carto Exploreur Savoie Est (73 E);Byo;07/01/2003;37,96;1;PC;1 CD , jaquette;
2008;IGN Rando: Ecrins Dauphiné;Loxane;07/01/2003;39;12;PC;1CD , manuel;
2009;IGN Rando: Ile de France;Loxane;07/01/2003;39;24;PC;1CD , manuel;
2010;IGN Rando: Corse;Loxane;07/01/2003;39;5;PC;1CD , manuel;
2011;IGN Rando: Pyrénées Occidentales;Loxane;07/01/2003;39;6;PC;1CD , manuel;
2012;IGN Rando: Bretagne Finistère;Loxane;07/01/2003;39;13;PC;1CD , manuel;
2013;IGN Rando: Alpes du Nord;Loxane;07/01/2003;39;8;PC;1CD , manuel;
2020;Clarinette in Play;Musicalis;10/01/2003;52,29;3;PC;1CD , jaquette;
2026;Piano Classique;Musicalis;12/01/2003;42,79;5;PC;1 CD , jaquette;
2034;IGN Rando: Bretagne Côtes d'Armor, Ile et Vilaine;Loxane;03/01/2004;39;9;PC;1CD , manuel;
2039;Secrets de plantes;Emme;03/01/2004;28,5;7;PC/MAC;1 CD , jaquette;
2051;Carto Exploreur 3: Var Ouest (83 O);Bayo;07/01/2004;37,9;3;PC;2 CDs, feuillet;
2052;Carto Exploreur 3: Var Est (83 E);Bayo;07/01/2004;37,9;3;PC;2 CDs, feuillet;
2058;Carto Exploreur 3: Manche Sud (50 S);Bayo;10/01/2004;37,9;4;PC;2 CDs, feuillet;
2059;Carto Exploreur 3: Manche Nord (50 N);Bayo;10/01/2004;37,9;4;PC;2 CDs, feuillet;
2064;Conduite accompagnée -DVD-;Emme;11/01/2004;28,5;15;PC;1 DVD, notice, carnet bord, le code (introuvable);
2069;Guitar Pro 4;Arobas music;03/01/2005;59;6;PC;1 CD , feuillet + n°série;
2077;Tell Me More Japonnais: Débutant;Auralog;09/01/2005;47,3;7;PC;2 CDs , 2 docs, n° série;
2078;Tell Me More Japonnais: Moyen;Auralog;09/01/2005;47,3;2;PC;2 CDs , n° série;
2079;Tell Me More Japonnais: Confirmé;Auralog;09/01/2005;47,3;3;PC;2 CDs , n° série;
2081;Carto Exploreur 3 : Ardèche Sud (07 S);Bayo;11/01/2005;38;5;PC;2 CDs , feuillet;
2082;Carto Exploreur 3 : Ardèche Nord (07 N);Bayo;11/01/2005;38;3;PC;2 CDs , feuillet;
2083;Carto Exploreur 3 : Gard Sud (30 S);Bayo;11/01/2005;38;6;PC;2 CDs , feuillet;
2084;Carto Exploreur 3 : Gard Nord (30 N);Bayo;11/01/2005;38;5;PC;2 CDs , feuillet;
2087;Carto Exploreur 3 : Lozère Sud (48 S);Bayo;12/01/2005;38;3;PC;2 CDs , feuillet;
2088;Carto Exploreur 3 : Lozère Nord (48 N);Bayo;12/01/2005;38;3;PC;2 CDs , feuillet;
2092;Photo Exploreur : Lozère Sud (48 S);Bayo;02/01/2006;50;;PC;2 CDs , feuillet;
2093;Photo Exploreur : Ardèche Sud (07 S);Bayo;02/01/2006;50;;PC;2 CDs , feuillet;
2094;Photo Exploreur : 75 et env. (Paris-91-92-93-94);Bayo;02/01/2006;50;8;PC;2 CDs , feuillet;
2100;Photo Exploreur : Gard Sud (30 S);Bayo;06/01/2006;47,4;3;PC;1 CD+1DVD , 2 feuillets;
2101;Photo Exploreur :  Gard Nord (30 N);Bayo;06/01/2006;47,4;3;PC;1 CD+1DVD , 2 feuillets;
